\u0025B           ɛ            \varepsilon                                  LATIN SMALL LETTER OPEN E / LATIN SMALL LETTER EPSILON
\u00263           ɣ            \Elzpgamma                                   LATIN SMALL LETTER GAMMA
\u00264           ɤ            \Elzpbgam                                    LATIN SMALL LETTER RAMS HORN / LATIN SMALL LETTER BABY GAMMA
\u00265           ɥ            \Elztrnh                                     LATIN SMALL LETTER TURNED H
\u0026C           ɬ            \Elzbtdl                                     LATIN SMALL LETTER L WITH BELT / LATIN SMALL LETTER L BELT
\u0026D           ɭ            \Elzrtll                                     LATIN SMALL LETTER L WITH RETROFLEX HOOK / LATIN SMALL LETTER L RETROFLEX HOOK
\u0026F           ɯ            \Elztrnm                                     LATIN SMALL LETTER TURNED M
\u00270           ɰ            \Elztrnmlr                                   LATIN SMALL LETTER TURNED M WITH LONG LEG
\u00271           ɱ            \Elzltlmr                                    LATIN SMALL LETTER M WITH HOOK / LATIN SMALL LETTER M HOOK
\u00272           ɲ            \Elzltln                                     LATIN SMALL LETTER N WITH LEFT HOOK / LATIN SMALL LETTER N HOOK
\u00273           ɳ            \Elzrtln                                     LATIN SMALL LETTER N WITH RETROFLEX HOOK / LATIN SMALL LETTER N RETROFLEX HOOK
\u00277           ɷ            \Elzclomeg                                   LATIN SMALL LETTER CLOSED OMEGA
\u00278           ɸ            \textphi                                     LATIN SMALL LETTER PHI
\u00279           ɹ            \Elztrnr                                     LATIN SMALL LETTER TURNED R
\u0027A           ɺ            \Elztrnrl                                    LATIN SMALL LETTER TURNED R WITH LONG LEG
\u0027B           ɻ            \Elzrttrnr                                   LATIN SMALL LETTER TURNED R WITH HOOK / LATIN SMALL LETTER TURNED R HOOK
\u0027C           ɼ            \Elzrl                                       LATIN SMALL LETTER R WITH LONG LEG
\u0027D           ɽ            \Elzrtlr                                     LATIN SMALL LETTER R WITH TAIL / LATIN SMALL LETTER R HOOK
\u0027E           ɾ            \Elzfhr                                      LATIN SMALL LETTER R WITH FISHHOOK / LATIN SMALL LETTER FISHHOOK R
\u00282           ʂ            \Elzrtls                                     LATIN SMALL LETTER S WITH HOOK / LATIN SMALL LETTER S HOOK
\u00283           ʃ            \Elzesh                                      LATIN SMALL LETTER ESH
\u00287           ʇ            \Elztrnt                                     LATIN SMALL LETTER TURNED T
\u00288           ʈ            \Elzrtlt                                     LATIN SMALL LETTER T WITH RETROFLEX HOOK / LATIN SMALL LETTER T RETROFLEX HOOK
\u0028A           ʊ            \Elzpupsil                                   LATIN SMALL LETTER UPSILON
\u0028B           ʋ            \Elzpscrv                                    LATIN SMALL LETTER V WITH HOOK / LATIN SMALL LETTER SCRIPT V
\u0028C           ʌ            \Elzinvv                                     LATIN SMALL LETTER TURNED V
\u0028D           ʍ            \Elzinvw                                     LATIN SMALL LETTER TURNED W
\u0028E           ʎ            \Elztrny                                     LATIN SMALL LETTER TURNED Y
\u00290           ʐ            \Elzrtlz                                     LATIN SMALL LETTER Z WITH RETROFLEX HOOK / LATIN SMALL LETTER Z RETROFLEX HOOK
\u00292           ʒ            \Elzyogh                                     LATIN SMALL LETTER EZH / LATIN SMALL LETTER YOGH
\u00294           ʔ            \Elzglst                                     LATIN LETTER GLOTTAL STOP
\u00295           ʕ            \Elzreglst                                   LATIN LETTER PHARYNGEAL VOICED FRICATIVE / LATIN LETTER REVERSED GLOTTAL STOP
\u00296           ʖ            \Elzinglst                                   LATIN LETTER INVERTED GLOTTAL STOP
\u0029E           ʞ            \textturnk                                   LATIN SMALL LETTER TURNED K
\u002A4           ʤ            \Elzdyogh                                    LATIN SMALL LETTER DEZH DIGRAPH / LATIN SMALL LETTER D YOGH
\u002A7           ʧ            \Elztesh                                     LATIN SMALL LETTER TESH DIGRAPH / LATIN SMALL LETTER T ESH
\u002B0           ʰ            \^h                                          MODIFIER LETTER SMALL H
\u002B2           ʲ            \^j                                          MODIFIER LETTER SMALL J
\u002B3           ʳ            \^r                                          MODIFIER LETTER SMALL R
\u002B7           ʷ            \^w                                          MODIFIER LETTER SMALL W
\u002B8           ʸ            \^y                                          MODIFIER LETTER SMALL Y
\u002BC           ʼ            \rasp                                        MODIFIER LETTER APOSTROPHE
\u002C7           ˇ            \textasciicaron                              CARON / MODIFIER LETTER HACEK
\u002C8           ˈ            \Elzverts                                    MODIFIER LETTER VERTICAL LINE
\u002CC           ˌ            \Elzverti                                    MODIFIER LETTER LOW VERTICAL LINE
\u002D0           ː            \Elzlmrk                                     MODIFIER LETTER TRIANGULAR COLON
\u002D1           ˑ            \Elzhlmrk                                    MODIFIER LETTER HALF TRIANGULAR COLON
\u002D2           ˒            \Elzsbrhr                                    MODIFIER LETTER CENTRED RIGHT HALF RING / MODIFIER LETTER CENTERED RIGHT HALF RING
\u002D3           ˓            \Elzsblhr                                    MODIFIER LETTER CENTRED LEFT HALF RING / MODIFIER LETTER CENTERED LEFT HALF RING
\u002D4           ˔            \Elzrais                                     MODIFIER LETTER UP TACK
\u002D5           ˕            \Elzlow                                      MODIFIER LETTER DOWN TACK
\u002D8           ˘            \u                                           BREVE / SPACING BREVE
\u002DC           ˜            \texttildelow                                SMALL TILDE / SPACING TILDE
\u002E1           ˡ            \^l                                          MODIFIER LETTER SMALL L
\u002E2           ˢ            \^s                                          MODIFIER LETTER SMALL S
\u002E3           ˣ            \^x                                          MODIFIER LETTER SMALL X
\u00300           ◌̀            \grave                                       COMBINING GRAVE ACCENT / NON-SPACING GRAVE
\u00301           ◌́            \acute                                       COMBINING ACUTE ACCENT / NON-SPACING ACUTE
